hlpi_name,series_ref,quarter,hlpi,nzhec,nzhec_name,nzhec_short,level,index,change.q,change.a
Maori,HPIQ.SMAO116,2012Q2,maori,11.6,Other miscellaneous services,Miscellaneous services,subgroup,952,0.8,3.4
Superannuitant,HPIQ.SSUP116,2012Q2,super,11.6,Other miscellaneous services,Miscellaneous services,subgroup,938,0.9,3.4
All households,HPIQ.SALL13,2012Q2,allhh,13,Other expenditure,Interest,group,931,-0.6,-2.1
Beneficiary,HPIQ.SBEN13,2012Q2,benef,13,Other expenditure,Interest,group,952,-0.7,-2.4
Income quintile 1 (low),HPIQ.SIQ113,2012Q2,disq1,13,Other expenditure,Interest,group,937,-0.6,-2
Income quintile 2,HPIQ.SIQ213,2012Q2,disq2,13,Other expenditure,Interest,group,943,-0.7,-2.2
Income quintile 3,HPIQ.SIQ313,2012Q2,disq3,13,Other expenditure,Interest,group,930,-0.6,-2
Income quintile 4,HPIQ.SIQ413,2012Q2,disq4,13,Other expenditure,Interest,group,928,-0.7,-2.2
Income quintile 5 (high),HPIQ.SIQ513,2012Q2,disq5,13,Other expenditure,Interest,group,922,-0.8,-2
Expenditure quintile 1 (low),HPIQ.SEQ113,2012Q2,expq1,13,Other expenditure,Interest,group,960,-0.7,-2.1
Expenditure quintile 2,HPIQ.SEQ213,2012Q2,expq2,13,Other expenditure,Interest,group,942,-0.7,-2.2
Expenditure quintile 3,HPIQ.SEQ313,2012Q2,expq3,13,Other expenditure,Interest,group,933,-0.6,-2
Expenditure quintile 4,HPIQ.SEQ413,2012Q2,expq4,13,Other expenditure,Interest,group,926,-0.6,-2.1
Expenditure quintile 5 (high),HPIQ.SEQ513,2012Q2,expq5,13,Other expenditure,Interest,group,919,-0.6,-2
Maori,HPIQ.SMAO13,2012Q2,maori,13,Other expenditure,Interest,group,943,-0.6,-2.3
Superannuitant,HPIQ.SSUP13,2012Q2,super,13,Other expenditure,Interest,group,948,-0.2,-0.7
All households,HPIQ.SALL131,2012Q2,allhh,13.1,Interest payments,Interest,subgroup,931,-0.6,-2.1
Beneficiary,HPIQ.SBEN131,2012Q2,benef,13.1,Interest payments,Interest,subgroup,952,-0.7,-2.4
Income quintile 1 (low),HPIQ.SIQ1131,2012Q2,disq1,13.1,Interest payments,Interest,subgroup,937,-0.6,-2
Income quintile 2,HPIQ.SIQ2131,2012Q2,disq2,13.1,Interest payments,Interest,subgroup,943,-0.7,-2.2
Income quintile 3,HPIQ.SIQ3131,2012Q2,disq3,13.1,Interest payments,Interest,subgroup,930,-0.6,-2
Income quintile 4,HPIQ.SIQ4131,2012Q2,disq4,13.1,Interest payments,Interest,subgroup,928,-0.7,-2.2
Income quintile 5 (high),HPIQ.SIQ5131,2012Q2,disq5,13.1,Interest payments,Interest,subgroup,922,-0.8,-2
Expenditure quintile 1 (low),HPIQ.SEQ1131,2012Q2,expq1,13.1,Interest payments,Interest,subgroup,960,-0.7,-2.1
Expenditure quintile 2,HPIQ.SEQ2131,2012Q2,expq2,13.1,Interest payments,Interest,subgroup,942,-0.7,-2.2
Expenditure quintile 3,HPIQ.SEQ3131,2012Q2,expq3,13.1,Interest payments,Interest,subgroup,933,-0.6,-2
Expenditure quintile 4,HPIQ.SEQ4131,2012Q2,expq4,13.1,Interest payments,Interest,subgroup,926,-0.6,-2.1
Expenditure quintile 5 (high),HPIQ.SEQ5131,2012Q2,expq5,13.1,Interest payments,Interest,subgroup,919,-0.6,-2
Maori,HPIQ.SMAO131,2012Q2,maori,13.1,Interest payments,Interest,subgroup,943,-0.6,-2.3
Superannuitant,HPIQ.SSUP131,2012Q2,super,13.1,Interest payments,Interest,subgroup,948,-0.2,-0.7
All households,HPIQ.SALL04101,2012Q2,allhh,4.1.01 ,Actual rentals for housing,Rent,class,959,0.5,2.2
Beneficiary,HPIQ.SBEN04101,2012Q2,benef,4.1.01 ,Actual rentals for housing,Rent,class,961,0.5,2.1
Income quintile 1 (low),HPIQ.SIQ104101,2012Q2,disq1,4.1.01 ,Actual rentals for housing,Rent,class,961,0.6,2.2
Income quintile 2,HPIQ.SIQ204101,2012Q2,disq2,4.1.01 ,Actual rentals for housing,Rent,class,960,0.5,2.1
Income quintile 3,HPIQ.SIQ304101,2012Q2,disq3,4.1.01 ,Actual rentals for housing,Rent,class,959,0.5,2.2
Income quintile 4,HPIQ.SIQ404101,2012Q2,disq4,4.1.01 ,Actual rentals for housing,Rent,class,958,0.6,2.4
Income quintile 5 (high),HPIQ.SIQ504101,2012Q2,disq5,4.1.01 ,Actual rentals for housing,Rent,class,959,0.6,2.3
Expenditure quintile 1 (low),HPIQ.SEQ104101,2012Q2,expq1,4.1.01 ,Actual rentals for housing,Rent,class,962,0.5,2.1
Expenditure quintile 2,HPIQ.SEQ204101,2012Q2,expq2,4.1.01 ,Actual rentals for housing,Rent,class,960,0.6,2.3
Expenditure quintile 3,HPIQ.SEQ304101,2012Q2,expq3,4.1.01 ,Actual rentals for housing,Rent,class,959,0.5,2.2
Expenditure quintile 4,HPIQ.SEQ404101,2012Q2,expq4,4.1.01 ,Actual rentals for housing,Rent,class,958,0.5,2.4
Expenditure quintile 5 (high),HPIQ.SEQ504101,2012Q2,expq5,4.1.01 ,Actual rentals for housing,Rent,class,958,0.6,2.4
Maori,HPIQ.SMAO04101,2012Q2,maori,4.1.01 ,Actual rentals for housing,Rent,class,964,0.5,2.1
Superannuitant,HPIQ.SSUP04101,2012Q2,super,4.1.01 ,Actual rentals for housing,Rent,class,960,0.5,2.2
All households,HPIQ.SALL04501,2012Q2,allhh,4.5.01 ,Electricity,Electricity,class,925,4.4,3.7
Beneficiary,HPIQ.SBEN04501,2012Q2,benef,4.5.01 ,Electricity,Electricity,class,929,4.5,3.7
Income quintile 1 (low),HPIQ.SIQ104501,2012Q2,disq1,4.5.01 ,Electricity,Electricity,class,928,4.5,3.8
Income quintile 2,HPIQ.SIQ204501,2012Q2,disq2,4.5.01 ,Electricity,Electricity,class,926,4.4,3.7
Income quintile 3,HPIQ.SIQ304501,2012Q2,disq3,4.5.01 ,Electricity,Electricity,class,924,4.3,3.6
Income quintile 4,HPIQ.SIQ404501,2012Q2,disq4,4.5.01 ,Electricity,Electricity,class,923,4.4,3.7
Income quintile 5 (high),HPIQ.SIQ504501,2012Q2,disq5,4.5.01 ,Electricity,Electricity,class,926,4.6,3.8
Expenditure quintile 1 (low),HPIQ.SEQ104501,2012Q2,expq1,4.5.01 ,Electricity,Electricity,class,924,4.3,3.7
Expenditure quintile 2,HPIQ.SEQ204501,2012Q2,expq2,4.5.01 ,Electricity,Electricity,class,928,4.4,3.7
Expenditure quintile 3,HPIQ.SEQ304501,2012Q2,expq3,4.5.01 ,Electricity,Electricity,class,925,4.4,3.7
Expenditure quintile 4,HPIQ.SEQ404501,2012Q2,expq4,4.5.01 ,Electricity,Electricity,class,926,4.5,3.7
Expenditure quintile 5 (high),HPIQ.SEQ504501,2012Q2,expq5,4.5.01 ,Electricity,Electricity,class,924,4.5,3.7
Maori,HPIQ.SMAO04501,2012Q2,maori,4.5.01 ,Electricity,Electricity,class,925,4.4,3.7
Superannuitant,HPIQ.SSUP04501,2012Q2,super,4.5.01 ,Electricity,Electricity,class,916,4.1,3.4
All households,HPIQ.SALL07202,2012Q2,allhh,7.2.02 ,Petrol,Petrol,class,1001,0.4,0.2
Beneficiary,HPIQ.SBEN07202,2012Q2,benef,7.2.02 ,Petrol,Petrol,class,1002,0.4,0.1
Income quintile 1 (low),HPIQ.SIQ107202,2012Q2,disq1,7.2.02 ,Petrol,Petrol,class,1002,0.4,0.1
Income quintile 2,HPIQ.SIQ207202,2012Q2,disq2,7.2.02 ,Petrol,Petrol,class,1002,0.4,0.2
Income quintile 3,HPIQ.SIQ307202,2012Q2,disq3,7.2.02 ,Petrol,Petrol,class,1001,0.4,0.2
Income quintile 4,HPIQ.SIQ407202,2012Q2,disq4,7.2.02 ,Petrol,Petrol,class,1000,0.4,0.2
Income quintile 5 (high),HPIQ.SIQ507202,2012Q2,disq5,7.2.02 ,Petrol,Petrol,class,1000,0.4,0.2
Expenditure quintile 1 (low),HPIQ.SEQ107202,2012Q2,expq1,7.2.02 ,Petrol,Petrol,class,1002,0.4,0.1
Expenditure quintile 2,HPIQ.SEQ207202,2012Q2,expq2,7.2.02 ,Petrol,Petrol,class,1001,0.3,0.1
Expenditure quintile 3,HPIQ.SEQ307202,2012Q2,expq3,7.2.02 ,Petrol,Petrol,class,1001,0.4,0.2
Expenditure quintile 4,HPIQ.SEQ407202,2012Q2,expq4,7.2.02 ,Petrol,Petrol,class,1000,0.3,0.1
Expenditure quintile 5 (high),HPIQ.SEQ507202,2012Q2,expq5,7.2.02 ,Petrol,Petrol,class,999,0.3,0.1
Maori,HPIQ.SMAO07202,2012Q2,maori,7.2.02 ,Petrol,Petrol,class,1003,0.5,0.1
Superannuitant,HPIQ.SSUP07202,2012Q2,super,7.2.02 ,Petrol,Petrol,class,999,0.3,0.1
All households,HPIQ.SALLA,2012Q2,allhh,A,All Groups,All groups,All groups,971,0.2,0.9
Beneficiary,HPIQ.SBENA,2012Q2,benef,A,All Groups,All groups,All groups,965,0.2,1.3
Income quintile 1 (low),HPIQ.SIQ1A,2012Q2,disq1,A,All Groups,All groups,All groups,961,0.2,1.3
Income quintile 2,HPIQ.SIQ2A,2012Q2,disq2,A,All Groups,All groups,All groups,969,0.3,1.1
Income quintile 3,HPIQ.SIQ3A,2012Q2,disq3,A,All Groups,All groups,All groups,974,0.3,0.8
Income quintile 4,HPIQ.SIQ4A,2012Q2,disq4,A,All Groups,All groups,All groups,974,0.2,0.9
Income quintile 5 (high),HPIQ.SIQ5A,2012Q2,disq5,A,All Groups,All groups,All groups,978,0.2,0.5
Expenditure quintile 1 (low),HPIQ.SEQ1A,2012Q2,expq1,A,All Groups,All groups,All groups,960,0.2,1.5
Expenditure quintile 2,HPIQ.SEQ2A,2012Q2,expq2,A,All Groups,All groups,All groups,969,0.2,1
Expenditure quintile 3,HPIQ.SEQ3A,2012Q2,expq3,A,All Groups,All groups,All groups,974,0.4,0.8
Expenditure quintile 4,HPIQ.SEQ4A,2012Q2,expq4,A,All Groups,All groups,All groups,975,0.2,0.6
Expenditure quintile 5 (high),HPIQ.SEQ5A,2012Q2,expq5,A,All Groups,All groups,All groups,977,0.1,0.5
Maori,HPIQ.SMAOA,2012Q2,maori,A,All Groups,All groups,All groups,972,0.2,1
Superannuitant,HPIQ.SSUPA,2012Q2,super,A,All Groups,All groups,All groups,961,0.3,1.5
All households,HPIQ.SALL01,2012Q3,allhh,1,Food,Food,group,1001,1.1,-1.2
Beneficiary,HPIQ.SBEN01,2012Q3,benef,1,Food,Food,group,999,0.7,-2
Income quintile 1 (low),HPIQ.SIQ101,2012Q3,disq1,1,Food,Food,group,1000,0.9,-1.9
Income quintile 2,HPIQ.SIQ201,2012Q3,disq2,1,Food,Food,group,1001,1.3,-1.3
Income quintile 3,HPIQ.SIQ301,2012Q3,disq3,1,Food,Food,group,1003,1.1,-1.1
Income quintile 4,HPIQ.SIQ401,2012Q3,disq4,1,Food,Food,group,1000,1,-1
Income quintile 5 (high),HPIQ.SIQ501,2012Q3,disq5,1,Food,Food,group,999,1.2,-0.9
Expenditure quintile 1 (low),HPIQ.SEQ101,2012Q3,expq1,1,Food,Food,group,999,0.9,-1.8
Expenditure quintile 2,HPIQ.SEQ201,2012Q3,expq2,1,Food,Food,group,999,0.9,-1.7
Expenditure quintile 3,HPIQ.SEQ301,2012Q3,expq3,1,Food,Food,group,1004,1.5,-0.8
Expenditure quintile 4,HPIQ.SEQ401,2012Q3,expq4,1,Food,Food,group,1001,1.1,-1
Expenditure quintile 5 (high),HPIQ.SEQ501,2012Q3,expq5,1,Food,Food,group,999,1,-0.9
Maori,HPIQ.SMAO01,2012Q3,maori,1,Food,Food,group,1000,0.8,-1.7
Superannuitant,HPIQ.SSUP01,2012Q3,super,1,Food,Food,group,1003,1.2,-1.5
All households,HPIQ.SALL011,2012Q3,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,1070,11.6,0
Beneficiary,HPIQ.SBEN011,2012Q3,benef,1.1,Fruit and vegetables,Fruit & veg,subgroup,1064,10.4,-1.8
Income quintile 1 (low),HPIQ.SIQ1011,2012Q3,disq1,1.1,Fruit and vegetables,Fruit & veg,subgroup,1059,9.9,-0.7
Income quintile 2,HPIQ.SIQ2011,2012Q3,disq2,1.1,Fruit and vegetables,Fruit & veg,subgroup,1065,12.1,0.9
Income quintile 3,HPIQ.SIQ3011,2012Q3,disq3,1.1,Fruit and vegetables,Fruit & veg,subgroup,1080,12.3,-0.1
Income quintile 4,HPIQ.SIQ4011,2012Q3,disq4,1.1,Fruit and vegetables,Fruit & veg,subgroup,1076,11.9,0.6
Income quintile 5 (high),HPIQ.SIQ5011,2012Q3,disq5,1.1,Fruit and vegetables,Fruit & veg,subgroup,1079,12.6,-0.2
Expenditure quintile 1 (low),HPIQ.SEQ1011,2012Q3,expq1,1.1,Fruit and vegetables,Fruit & veg,subgroup,1063,9.8,-0.6
Expenditure quintile 2,HPIQ.SEQ2011,2012Q3,expq2,1.1,Fruit and vegetables,Fruit & veg,subgroup,1064,11.1,-0.8
Expenditure quintile 3,HPIQ.SEQ3011,2012Q3,expq3,1.1,Fruit and vegetables,Fruit & veg,subgroup,1078,13.7,1.9
Expenditure quintile 4,HPIQ.SEQ4011,2012Q3,expq4,1.1,Fruit and vegetables,Fruit & veg,subgroup,1076,12,0.1
Expenditure quintile 5 (high),HPIQ.SEQ5011,2012Q3,expq5,1.1,Fruit and vegetables,Fruit & veg,subgroup,1075,11.9,-0.5
Maori,HPIQ.SMAO011,2012Q3,maori,1.1,Fruit and vegetables,Fruit & veg,subgroup,1072,11.8,-1.8
Superannuitant,HPIQ.SSUP011,2012Q3,super,1.1,Fruit and vegetables,Fruit & veg,subgroup,1067,10.9,0.2
All households,HPIQ.SALL012,2012Q3,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,992,0.1,-2.2
Beneficiary,HPIQ.SBEN012,2012Q3,benef,1.2,"Meat, poultry and fish",Meat,subgroup,992,0.8,-1.3
Income quintile 1 (low),HPIQ.SIQ1012,2012Q3,disq1,1.2,"Meat, poultry and fish",Meat,subgroup,993,0.5,-1.8
Income quintile 2,HPIQ.SIQ2012,2012Q3,disq2,1.2,"Meat, poultry and fish",Meat,subgroup,989,0.3,-2.1
Income quintile 3,HPIQ.SIQ3012,2012Q3,disq3,1.2,"Meat, poultry and fish",Meat,subgroup,994,0.2,-1.9
Income quintile 4,HPIQ.SIQ4012,2012Q3,disq4,1.2,"Meat, poultry and fish",Meat,subgroup,994,0,-2.5
Income quintile 5 (high),HPIQ.SIQ5012,2012Q3,disq5,1.2,"Meat, poultry and fish",Meat,subgroup,993,-0.2,-2.5
Expenditure quintile 1 (low),HPIQ.SEQ1012,2012Q3,expq1,1.2,"Meat, poultry and fish",Meat,subgroup,988,0.6,-1.7
Expenditure quintile 2,HPIQ.SEQ2012,2012Q3,expq2,1.2,"Meat, poultry and fish",Meat,subgroup,989,-0.1,-2.6
Expenditure quintile 3,HPIQ.SEQ3012,2012Q3,expq3,1.2,"Meat, poultry and fish",Meat,subgroup,996,0.3,-1.8
Expenditure quintile 4,HPIQ.SEQ4012,2012Q3,expq4,1.2,"Meat, poultry and fish",Meat,subgroup,995,0,-2.4
Expenditure quintile 5 (high),HPIQ.SEQ5012,2012Q3,expq5,1.2,"Meat, poultry and fish",Meat,subgroup,995,-0.1,-2.5
Maori,HPIQ.SMAO012,2012Q3,maori,1.2,"Meat, poultry and fish",Meat,subgroup,991,0.4,-1.7
Superannuitant,HPIQ.SSUP012,2012Q3,super,1.2,"Meat, poultry and fish",Meat,subgroup,988,-0.1,-2.4
All households,HPIQ.SALL013,2012Q3,allhh,1.3,Grocery food,Grocery food,subgroup,995,-1.5,-2.5
Beneficiary,HPIQ.SBEN013,2012Q3,benef,1.3,Grocery food,Grocery food,subgroup,990,-1.7,-3.3
Income quintile 1 (low),HPIQ.SIQ1013,2012Q3,disq1,1.3,Grocery food,Grocery food,subgroup,992,-1.6,-3.2
Income quintile 2,HPIQ.SIQ2013,2012Q3,disq2,1.3,Grocery food,Grocery food,subgroup,994,-1.5,-2.7
Income quintile 3,HPIQ.SIQ3013,2012Q3,disq3,1.3,Grocery food,Grocery food,subgroup,999,-1.5,-2.3
Income quintile 4,HPIQ.SIQ4013,2012Q3,disq4,1.3,Grocery food,Grocery food,subgroup,995,-1.7,-2.4
Income quintile 5 (high),HPIQ.SIQ5013,2012Q3,disq5,1.3,Grocery food,Grocery food,subgroup,992,-1.6,-2.2
Expenditure quintile 1 (low),HPIQ.SEQ1013,2012Q3,expq1,1.3,Grocery food,Grocery food,subgroup,990,-1.5,-3
Expenditure quintile 2,HPIQ.SEQ2013,2012Q3,expq2,1.3,Grocery food,Grocery food,subgroup,994,-1.5,-2.8
Expenditure quintile 3,HPIQ.SEQ3013,2012Q3,expq3,1.3,Grocery food,Grocery food,subgroup,999,-1.6,-2.5
Expenditure quintile 4,HPIQ.SEQ4013,2012Q3,expq4,1.3,Grocery food,Grocery food,subgroup,996,-1.5,-2.3
Expenditure quintile 5 (high),HPIQ.SEQ5013,2012Q3,expq5,1.3,Grocery food,Grocery food,subgroup,997,-1.7,-2.1
Maori,HPIQ.SMAO013,2012Q3,maori,1.3,Grocery food,Grocery food,subgroup,995,-1.8,-3.1
Superannuitant,HPIQ.SSUP013,2012Q3,super,1.3,Grocery food,Grocery food,subgroup,996,-1.5,-2.8
All households,HPIQ.SALL014,2012Q3,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,993,0.5,-0.9
Beneficiary,HPIQ.SBEN014,2012Q3,benef,1.4,Non-alcoholic beverages,Soft drinks,subgroup,999,0.5,-1
Income quintile 1 (low),HPIQ.SIQ1014,2012Q3,disq1,1.4,Non-alcoholic beverages,Soft drinks,subgroup,996,0.6,-0.9
Income quintile 2,HPIQ.SIQ2014,2012Q3,disq2,1.4,Non-alcoholic beverages,Soft drinks,subgroup,995,0.6,-1.2
Income quintile 3,HPIQ.SIQ3014,2012Q3,disq3,1.4,Non-alcoholic beverages,Soft drinks,subgroup,991,0.4,-0.9
Income quintile 4,HPIQ.SIQ4014,2012Q3,disq4,1.4,Non-alcoholic beverages,Soft drinks,subgroup,990,0.3,-1
Income quintile 5 (high),HPIQ.SIQ5014,2012Q3,disq5,1.4,Non-alcoholic beverages,Soft drinks,subgroup,991,0.2,-0.9
Expenditure quintile 1 (low),HPIQ.SEQ1014,2012Q3,expq1,1.4,Non-alcoholic beverages,Soft drinks,subgroup,995,0.6,-1.1
Expenditure quintile 2,HPIQ.SEQ2014,2012Q3,expq2,1.4,Non-alcoholic beverages,Soft drinks,subgroup,994,0.5,-1
Expenditure quintile 3,HPIQ.SEQ3014,2012Q3,expq3,1.4,Non-alcoholic beverages,Soft drinks,subgroup,993,0.5,-0.9
Expenditure quintile 4,HPIQ.SEQ4014,2012Q3,expq4,1.4,Non-alcoholic beverages,Soft drinks,subgroup,993,0.4,-0.9
Expenditure quintile 5 (high),HPIQ.SEQ5014,2012Q3,expq5,1.4,Non-alcoholic beverages,Soft drinks,subgroup,988,0.1,-0.8
Maori,HPIQ.SMAO014,2012Q3,maori,1.4,Non-alcoholic beverages,Soft drinks,subgroup,996,0.5,-1.3
Superannuitant,HPIQ.SSUP014,2012Q3,super,1.4,Non-alcoholic beverages,Soft drinks,subgroup,996,0.9,-1.1
All households,HPIQ.SALL015,2012Q3,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,974,0.4,1.5
Beneficiary,HPIQ.SBEN015,2012Q3,benef,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,974,0.3,1
Income quintile 1 (low),HPIQ.SIQ1015,2012Q3,disq1,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,973,0.4,1.5
Income quintile 2,HPIQ.SIQ2015,2012Q3,disq2,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,973,0.3,1.4
Income quintile 3,HPIQ.SIQ3015,2012Q3,disq3,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,973,0.3,1.4
Income quintile 4,HPIQ.SIQ4015,2012Q3,disq4,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,973,0.3,1.5
Income quintile 5 (high),HPIQ.SIQ5015,2012Q3,disq5,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,975,0.4,1.6
Expenditure quintile 1 (low),HPIQ.SEQ1015,2012Q3,expq1,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,973,0.4,1.5
Expenditure quintile 2,HPIQ.SEQ2015,2012Q3,expq2,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,973,0.4,1.5
Expenditure quintile 3,HPIQ.SEQ3015,2012Q3,expq3,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,973,0.4,1.5
Expenditure quintile 4,HPIQ.SEQ4015,2012Q3,expq4,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,974,0.4,1.5
Expenditure quintile 5 (high),HPIQ.SEQ5015,2012Q3,expq5,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,975,0.4,1.5
Maori,HPIQ.SMAO015,2012Q3,maori,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,974,0.2,1.1
Superannuitant,HPIQ.SSUP015,2012Q3,super,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,973,0.6,2.1
All households,HPIQ.SALL02,2012Q3,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,941,0.2,6.3
Beneficiary,HPIQ.SBEN02,2012Q3,benef,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,873,0.1,9.8
Income quintile 1 (low),HPIQ.SIQ102,2012Q3,disq1,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,902,0.1,8.7
Income quintile 2,HPIQ.SIQ202,2012Q3,disq2,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,920,0.2,7.4
Income quintile 3,HPIQ.SIQ302,2012Q3,disq3,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,936,0.2,6.5
Income quintile 4,HPIQ.SIQ402,2012Q3,disq4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,955,0.3,5.2
Income quintile 5 (high),HPIQ.SIQ502,2012Q3,disq5,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,996,0.3,4.2
Expenditure quintile 1 (low),HPIQ.SEQ102,2012Q3,expq1,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,901,0.1,8.6
Expenditure quintile 2,HPIQ.SEQ202,2012Q3,expq2,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,919,0.2,7.2
Expenditure quintile 3,HPIQ.SEQ302,2012Q3,expq3,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,947,0.2,6.2
Expenditure quintile 4,HPIQ.SEQ402,2012Q3,expq4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,960,0.3,5.1
Expenditure quintile 5 (high),HPIQ.SEQ502,2012Q3,expq5,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,993,0.3,4.2
Maori,HPIQ.SMAO02,2012Q3,maori,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,899,0.1,8.1
Superannuitant,HPIQ.SSUP02,2012Q3,super,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,959,0.1,5.5
All households,HPIQ.SALL021,2012Q3,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,1045,0.4,2.2
Beneficiary,HPIQ.SBEN021,2012Q3,benef,2.1,Alcoholic beverages,Alcohol,subgroup,1036,0.4,1.9
Income quintile 1 (low),HPIQ.SIQ1021,2012Q3,disq1,2.1,Alcoholic beverages,Alcohol,subgroup,1055,0.2,2.3
Income quintile 2,HPIQ.SIQ2021,2012Q3,disq2,2.1,Alcoholic beverages,Alcohol,subgroup,1044,0.4,2.3
Income quintile 3,HPIQ.SIQ3021,2012Q3,disq3,2.1,Alcoholic beverages,Alcohol,subgroup,1043,0.4,2.2
Income quintile 4,HPIQ.SIQ4021,2012Q3,disq4,2.1,Alcoholic beverages,Alcohol,subgroup,1035,0.4,2
Income quintile 5 (high),HPIQ.SIQ5021,2012Q3,disq5,2.1,Alcoholic beverages,Alcohol,subgroup,1051,0.4,2.3
Expenditure quintile 1 (low),HPIQ.SEQ1021,2012Q3,expq1,2.1,Alcoholic beverages,Alcohol,subgroup,1051,0.3,2.4
Expenditure quintile 2,HPIQ.SEQ2021,2012Q3,expq2,2.1,Alcoholic beverages,Alcohol,subgroup,1033,0.3,2.1
Expenditure quintile 3,HPIQ.SEQ3021,2012Q3,expq3,2.1,Alcoholic beverages,Alcohol,subgroup,1046,0.4,2.4
Expenditure quintile 4,HPIQ.SEQ4021,2012Q3,expq4,2.1,Alcoholic beverages,Alcohol,subgroup,1042,0.5,2.1
Expenditure quintile 5 (high),HPIQ.SEQ5021,2012Q3,expq5,2.1,Alcoholic beverages,Alcohol,subgroup,1053,0.3,2
Maori,HPIQ.SMAO021,2012Q3,maori,2.1,Alcoholic beverages,Alcohol,subgroup,1028,0.3,1.7
Superannuitant,HPIQ.SSUP021,2012Q3,super,2.1,Alcoholic beverages,Alcohol,subgroup,1056,0.2,1.8
All households,HPIQ.SALL022,2012Q3,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,813,0,13.5
Beneficiary,HPIQ.SBEN022,2012Q3,benef,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,815,0,13.7
Income quintile 1 (low),HPIQ.SIQ1022,2012Q3,disq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,815,0,13.8
Income quintile 2,HPIQ.SIQ2022,2012Q3,disq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,813,0,13.4
Income quintile 3,HPIQ.SIQ3022,2012Q3,disq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,814,0,13.7
Income quintile 4,HPIQ.SIQ4022,2012Q3,disq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,811,0,13.3
Income quintile 5 (high),HPIQ.SIQ5022,2012Q3,disq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,811,0,13.3
Expenditure quintile 1 (low),HPIQ.SEQ1022,2012Q3,expq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,815,0,13.7
Expenditure quintile 2,HPIQ.SEQ2022,2012Q3,expq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,815,0,13.8
Expenditure quintile 3,HPIQ.SEQ3022,2012Q3,expq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,813,0,13.5
Expenditure quintile 4,HPIQ.SEQ4022,2012Q3,expq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,812,0,13.4
Expenditure quintile 5 (high),HPIQ.SEQ5022,2012Q3,expq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,810,0,13.1
Maori,HPIQ.SMAO022,2012Q3,maori,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,815,0,13.7
Superannuitant,HPIQ.SSUP022,2012Q3,super,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,814,0,13.7
All households,HPIQ.SALL03,2012Q3,allhh,3,Clothing and footwear,Clothing and footwear,group,1021,-0.4,-1
Beneficiary,HPIQ.SBEN03,2012Q3,benef,3,Clothing and footwear,Clothing and footwear,group,1026,-0.1,-1.3
